Name,Category,Address,City,State,Zipcode,Phone,Latitude,Longitude
ABIDAN LLC t/a Argyle Convenience Store,Delicatessen,3220 17TH ST NW ,WASHINGTON,DC,20010,Not Available,38.93229816,-77.03921799
"7-ELEVEN, INC.",Delicatessen,5210 3RD ST NE ,WASHINGTON,DC,20011,Not Available,38.9529270681,-77.0014570919
AST MARKET,Food Products,3182 BLADENSBURG RD NE ,WASHINGTON,DC,20018,2025261496.0,38.92981797,-76.95991355
FAMILY DOLLAR C/O DOLLAR TREE,Food Products,1121 H ST NE ,WASHINGTON,DC,20002,Not Available,38.90000698,-76.99068361
WALGREENS CO #19268,Food Products,1401 RHODE ISLAND AVE NE ,WASHINGTON,DC,20018,2027225252.0,38.92491183,-76.98370221
TOMY LIQUOR LLC,Food Products,1537 MARION BARRY AVE SE ,WASHINGTON,DC,20020,2028890723.0,38.86609097,-76.98214002
Embassy Row Shell,Food Products,2200 P ST NW ,WASHINGTON,DC,20037,Not Available,38.90930705,-77.04915963
Kusa Market,Food Products,3108 GEORGIA AVE NW ,WASHINGTON,DC,20010-2902,Not Available,38.92939756,-77.02359941
"BODEGA MARKET, LLC.",Grocery Store,1136 FLORIDA AVE NE ,WASHINGTON,DC,20002,Not Available,38.90303925,-76.99035441
ECONOMY MARKET,Grocery Store,1804 D ST NE ,WASHINGTON,DC,20002,Not Available,38.8949735415,-76.9787057002
RAM GROCERY,Grocery Store,3509 WHEELER RD SE ,WASHINGTON,DC,20032,Not Available,38.8391882,-76.9939661
ABG MART,Grocery Store,2216 MARTIN LUTHER KING J AVE SE ,WASHINGTON,DC,20020,Not Available,38.86425442,-76.98983826
WENDIM LIQUORS INC,Grocery Store,2033 BENNING RD NE ,WASHINGTON,DC,20002,Not Available,38.89830169,-76.97437494
JOHN LLC,Grocery Store,5319 EAST CAPITOL ST SE ,WASHINGTON,DC,20019,Not Available,38.88941161,-76.92530643
NAOM LLC,Grocery Store,1812 HAMLIN ST NE ,WASHINGTON,DC,20018,Not Available,38.92845685,-76.97839423
TAMZEE INCORPORATED,Grocery Store,2033 BENNING RD NE ,WASHINGTON,DC,20002,Not Available,38.89830169,-76.97437494
Unknown,Barber Shop,1232 H ST NE ,WASHINGTON,DC,20002,2023880378.0,38.90038555,-76.98908828
TWO MAC'S BARBER SHOP,Barber Shop,6307 GEORGIA AVE NW ,WASHINGTON,DC,20011,2022916422.0,38.96641427,-77.02729328
Unknown,Barber Shop,2612 GEORGIA AVE NW ,WASHINGTON,DC,20001,2022389598.0,38.9246195,-77.02281906
NATIONAL HARBOR BARBERSHOP,Barber Shop,8 ELMIRA ST SW ,WASHINGTON,DC,20032,Not Available,38.82585235,-77.00788343
"Midtown Barber Shop, Inc.",Barber Shop,120 KENNEDY ST NW ,WASHINGTON,DC,20011,Not Available,38.95639473,-77.01262482
One way barber shop and salon llc,Barber Shop,7309 GEORGIA AVE NW ,WASHINGTON,DC,20012,Not Available,38.97865356,-77.0261875
HABIBS BARBER SHOP,Barber Shop,912 H ST NE ,WASHINGTON,DC,20002,Not Available,38.90038937,-76.99318461
S&S Union Market LLC,Barber Shop,331 N ST NE ,WASHINGTON,DC,20002,Not Available,38.90708028,-77.00101412
Sharp Cuts,Barber Shop,4646 LIVINGSTON RD SE ,WASHINGTON,DC,20032,Not Available,38.82264178,-77.00160978
NGUYEN SISTER AND BROTHER LLC,Barber Shop,1406 P ST NW ,WASHINGTON,DC,20005,Not Available,38.90947308,-77.03242631
Wall's Barber Shop,Barber Shop,1660 L ST NW ,WASHINGTON,DC,20036,Not Available,38.90347188,-77.03807775
"Bravado Hair Design, LLC",Beauty Shop,655 C ST SE ,WASHINGTON,DC,20003,Not Available,38.88586695,-76.9966206
BANG SALON,Beauty Shop,1515 15TH ST NW ,WASHINGTON,DC,20005,2025885555.0,38.90997196,-77.03424698
"BLOOM, INC",Beauty Shop,1180 F ST NW ,WASHINGTON,DC,20004,2023473333.0,38.89718631,-77.02782404
One way barber shop and salon llc,Barber Shop,7309 GEORGIA AVE NW ,WASHINGTON,DC,20012,Not Available,38.97865356,-77.0261875
"WATERGATE HOTEL LESSEE, LLC.",Beauty Shop,2650 VIRGINIA AVE NW ,WASHINGTON,DC,20037,Not Available,38.89933514,-77.05581934
MARTHA'S UNISEX SALON INC,Beauty Shop,3529 14TH ST NW ,WASHINGTON,DC,20010,Not Available,38.93577937,-77.03240863
BLUEBELL SPA,Beauty Shop,3705 14TH ST NW ,WASHINGTON,DC,20010,Not Available,38.93728804,-77.03245592
GEORGETOWN BARBERSHOP CO LLC,Beauty Shop,3283 M ST NW ,WASHINGTON,DC,20007,Not Available,38.90531117,-77.06556803
"XCLUSIVE BEAUTY SALON, LLC",Beauty Shop,3121 MOUNT PLEASANT ST NW ,WASHINGTON,DC,20010,Not Available,38.92931679,-77.0372448
WATERGATE HAIRSTYLISTS INC.,Beauty Shop,2532 VIRGINIA AVE NW ,WASHINGTON,DC,20037,Not Available,38.8987139,-77.05434915
BRISTLE HAIRDRESSING LLC,Beauty Shop,1770 COLUMBIA RD NW ,WASHINGTON,DC,20009,Not Available,38.92341208,-77.04107518
Ian McCabe Studio at Union Market,Beauty Shop,1268 5TH ST NE ,WASHINGTON,DC,20002,Not Available,38.90807504,-76.99875285
"INGLESIDE PRESBYTERIAN RETIREMENT COMMUNITY, INC. (THE)",Beauty Shop,3050 MILITARY RD NW ,WASHINGTON,DC,20015,Not Available,38.96007796,-77.06116281
Jasmines Hair Gallery,Beauty Shop,2202 MARTIN LUTHER KING J AVE SE ,WASHINGTON,DC,20020,Not Available,38.8646853899,-76.9896252665
Vibrant Textures Hair Studio,Beauty Shop,3530 12TH ST NE ,WASHINGTON,DC,20017,Not Available,38.93334019,-76.99125166
Luigi Parasmo Salon and Spa,Beauty Shop,1359 WISCONSIN AVE NW ,WASHINGTON,DC,20007,Not Available,38.90812417,-77.06351836
4 SEASONS NAIL & SPA LLC,Beauty Shop,468 K ST NW ,WASHINGTON,DC,20001,Not Available,38.90225266,-77.01846725
TGR BEAUTY LLC,Beauty Shop,2201 CHANNING ST NE ,WASHINGTON,DC,20018,Not Available,38.9221509,-76.97391017
Denebian Syzygy,Beauty Shop,2401 PENNSYLVANIA AVE NW ,WASHINGTON,DC,20037,Not Available,38.90348021,-77.05184954
Inari Salon and Spa,Beauty Shop,1425 K ST NW ,WASHINGTON,DC,20005,Not Available,38.9029133,-77.03303781
FERRARI & CLOTT LLC,Beauty Shop,1125 18TH ST NW ,WASHINGTON,DC,20036,Not Available,38.90474037,-77.04146506
Tejvi Salons inc,Beauty Shop,1006 E ST NW ,WASHINGTON,DC,20004,Not Available,38.89598229,-77.02648799
COLONNADE SALON LLC,Beauty Shop,2801 NEW MEXICO AVE NW ,WASHINGTON,DC,20007,Not Available,38.92670066,-77.08045576
NGUYEN SISTER AND BROTHER LLC,Beauty Shop,1406 P ST NW ,WASHINGTON,DC,20005,Not Available,38.90947308,-77.03242631
Jacquie Ohs Hair Salon,Beauty Shop,1325 18TH ST NW ,WASHINGTON,DC,,Not Available,38.90799196,-77.04136606
"MARIAME HAIR BRAIDING, LLC.",Beauty Shop Braiding,3815 MINNESOTA AVE NE ,WASHINGTON,DC,20019,Not Available,38.89233917,-76.95082578
C Alan Systems LLC.,Beauty Shop,923 U ST NW ,WASHINGTON,DC,20001,Not Available,38.91718397,-77.02489352
"SKIN BEAUTY BAR, INC.",Beauty Shop Esthetics,749 8TH ST SE ,WASHINGTON,DC,20003,Not Available,38.8796358,-76.99525278
TOE TALLY NAILS INC,Beauty Shop,3511 CONNECTICUT AVE NW ,WASHINGTON,DC,20008,Not Available,38.93604962,-77.0581467
Unknown,Beauty Shop Nails,3320 GEORGIA AVE NW ,WASHINGTON,DC,20010,Not Available,38.93159362,-77.02385283
"NAILS & SPA, INC.",Beauty Shop Nails,5606 CONNECTICUT AVE NW ,WASHINGTON,DC,20015,Not Available,38.96513178,-77.0760115
BEST NAIL SALON,Beauty Shop Nails,3224 PENNSYLVANIA AVE SE ,WASHINGTON,DC,20020,2025750413.0,38.86966898,-76.95967631
BLUE BELL INC,Beauty Shop Nails,700 O ST NW ,WASHINGTON,DC,20001,Not Available,38.9083357,-77.02226827
AQN-WDC LLC,Beauty Shop Nails,1643 CONNECTICUT AVE NW ,WASHINGTON,DC,20009,Not Available,38.9123232878,-77.0445613985
MYE NAILS & SPA,Beauty Shop Nails,1744 COLUMBIA RD NW ,WASHINGTON,DC,20009,Not Available,38.92383145,-77.04047368
Relaxed Nails Spa,Beauty Shop Nails,5505 CONNECTICUT AVE NW ,WASHINGTON,DC,20015,Not Available,38.96326855,-77.0742679
Lavish Nail Spa,Beauty Shop Nails,3416 CONNECTICUT AVE NW ,WASHINGTON,DC,20008,Not Available,38.93468916,-77.0583735
nailsaloon Walter Reed,Beauty Shop Nails,7175 12TH ST NW ,WASHINGTON,DC,20012,Not Available,38.97691224,-77.02761513
ALOHA NAILS LOUNGE,Beauty Shop Nails,1304 5TH ST NE ,WASHINGTON,DC,20002,Not Available,38.90892569,-76.99814742
VIDA FITNESS,Health Spa,1515 15TH ST NW ,WASHINGTON,DC,20005,2029392563.0,38.90997196,-77.03424698
"GBG, LLC",Health Spa,1101 CONNECTICUT AVE NW ,WASHINGTON,DC,20036,Not Available,38.90403246,-77.03973497
7-ELEVEN LICENSING,Delicatessen,3900 MARTIN LUTHER KING J AVE SW ,WASHINGTON,DC,20032,Not Available,38.8324014452,-77.0087348195
MAGRUDERS OF DC,Delicatessen,5626 CONNECTICUT AVE NW ,WASHINGTON,DC,20015,Not Available,38.96554578,-77.07645699
AHOLD USA LICENSING DEPARTMENT,Delicatessen,300 H ST NE ,WASHINGTON,DC,20002,7172407541.0,38.90043037,-77.00164474
COMPASS GROUP USA INC.,Delicatessen,2701 MARTIN LUTHER KING J AVE SE ,WASHINGTON,DC,20032,Not Available,38.85296415,-77.0011554
HOUSE OF MACARONS (THE) L.L.C.,Delicatessen,3222 M ST NW ,WASHINGTON,DC,20007,Not Available,38.90499599,-77.06374039
ZEKE'S COFFEE OF DC,Delicatessen,2300 RHODE ISLAND AVE NE ,WASHINGTON,DC,20018,Not Available,38.93071732,-76.97334572
C & F EVANS SEAFOOD INC,Delicatessen,1100 MAINE AVE SW ,WASHINGTON,DC,20024,3015544173.0,38.88121704,-77.02805247
GOOD HOPE SEAFOOD,Delicatessen,1521 MARION BARRY AVE SE ,WASHINGTON,DC,20020,2026781253.0,38.86611536,-76.9825818
"RUFAEL, INCORPORATED",Delicatessen,5900 GEORGIA AVE NW ,WASHINGTON,DC,20011,2028338301.0,38.9615102955,-77.0284314823
FORTUNE EXPRESS INC.,Delicatessen,4726 14TH ST NW ,WASHINGTON,DC,20011,2027233278.0,38.94794162,-77.03304818
STUDENTS OF GEOREGTOWN INC,Delicatessen,3800 RESERVOIR RD NW ,WASHINGTON,DC,20057,2029442290.0,38.91201376,-77.07530401
MORUSS CRAB AND SEAFOOD DISTRIBUTORS LLC,Delicatessen,2902 MINNESOTA AVE SE ,WASHINGTON,DC,20019,2025832722.0,38.87616941,-76.96579379
ARAMARK ENTERTAINMENT LLC,Delicatessen,601 F ST NW ,WASHINGTON,DC,20004,2026615155.0,38.8980785153,-77.0209572291
ARAMARK ENTERTAINMENT LLC,Delicatessen,601 F ST NW ,WASHINGTON,DC,20004,2026615155.0,38.8980785153,-77.0209572291
S&K INC,Delicatessen,50 MASSACHUSETTS AVE NE ,WASHINGTON,DC,20002,2022897002.0,38.89761945,-77.00617579
LIFFS MARKET L.L.C.,Delicatessen,600 ALABAMA AVE SE ,WASHINGTON,DC,20032,2026693174.0,38.84341954,-76.99758687
STACHOWSKI'S MARKET,Delicatessen,1425 28TH ST NW ,WASHINGTON,DC,20007,Not Available,38.90919324,-77.05695639
SIMPLY BANH MI INC,Delicatessen,1624 WISCONSIN AVE NW ,WASHINGTON,DC,20007,Not Available,38.91145445,-77.06567398
SUNSET COFFEE LLC.,Delicatessen,2904 GEORGIA AVE NW ,WASHINGTON,DC,20001,Not Available,38.927265,-77.02326149
Unknown,Delicatessen,2001 L ST NW ,WASHINGTON,DC,20036,Not Available,38.90403954,-77.04529442
HARPER LLC,Delicatessen,5632 CONNECTICUT AVE NW ,WASHINGTON,DC,20015,Not Available,38.9658016,-77.07647561
LEDROIT MARKET INC.,Delicatessen,1901 4TH ST NW ,WASHINGTON,DC,20001,3019052328.0,38.91605733,-77.01722781
BETTESFA INCORPORATED,Delicatessen,2216 MARTIN LUTHER KING J AVE SE ,WASHINGTON,DC,20020,Not Available,38.86425442,-76.98983826
URFA TOMATO KABOB,Delicatessen,467 FLORIDA AVE NW ,WASHINGTON,DC,20001,Not Available,38.91484093,-77.01802739
JOY'S DELI,Delicatessen,2041 MARTIN LUTHER KING J AVE SE ,WASHINGTON,DC,20020,Not Available,38.86592269,-76.98982639
SHAKESPEARE THEATRE (THE),Delicatessen,610 F ST NW ,WASHINGTON,DC,20004,2025473230.0,38.89712236,-77.02035197
SUBWAY DC INC.,Delicatessen,1101 4TH ST SW ,WASHINGTON,DC,20024,Not Available,38.87766061,-77.01804992
"SWEETGREEN DUPONT, LLC.",Delicatessen,888 17TH ST NW ,WASHINGTON,DC,20006,8053048250.0,38.90109104,-77.03977057
7-ELEVEN 38027 A,Delicatessen,3433 CONNECTICUT AVE NW ,WASHINGTON,DC,20008,Not Available,38.93533119,-77.05800436
LICENSING TEAM,Delicatessen,600 H ST NE ,WASHINGTON,DC,20002,Not Available,38.90040398,-76.99738735
MLK DELI,Delicatessen,3113 MARTIN LUTHER KING J AVE SE ,WASHINGTON,DC,20032,Not Available,38.84355223,-76.99980441
WOODNER MARKET LLC,Delicatessen,3636 16TH ST NW ,WASHINGTON,DC,20010,2023282821.0,38.9364283,-77.03726282
SHAKE SHACK,Delicatessen,975 WHARF ST SW ,WASHINGTON,DC,20024,Not Available,38.88027661,-77.02631528
FIVE GUYS PROPERTIES LLC,Delicatessen,1100 NEW JERSEY AVE SE ,WASHINGTON,DC,20003,Not Available,38.8769516,-77.00394218
MERRY'S KITCHEN,Delicatessen,2929 MARTIN LUTHER KING J AVE SE ,WASHINGTON,DC,20032,2025627180.0,38.84530534,-76.99757345
"HADLEY, LLC",Delicatessen,3708 MACOMB ST NW ,WASHINGTON,DC,20016,Not Available,38.93329272,-77.07292438
"ABI, INC.",Delicatessen,1925 BLADENSBURG RD NE ,WASHINGTON,DC,20002,Not Available,38.91696523,-76.97221679
PICCANTELI LLC,Delicatessen,601 NEW JERSEY AVE NW ,WASHINGTON,DC,20001,Not Available,38.8978527,-77.01153315
ZINZIN INC,Delicatessen,1132 29TH ST NW ,WASHINGTON,DC,20007,Not Available,38.90492224,-77.05822243
ON TOAST DC LLC,Delicatessen,1309 5TH ST NE ,WASHINGTON,DC,20002,Not Available,38.90871669,-76.99765027
SWEET LEAF 8 Corp.,Delicatessen,1152 15TH ST NW ,WASHINGTON,DC,20005,Not Available,38.90493386,-77.0352364
STUDENTS OF GEORGETOWN INC.,Delicatessen,3700 O ST NW ,WASHINGTON,DC,20057,3029853717.0,38.90750247,-77.07273891
BAKERY AND CAFE LA JOLIE BLEUE LLC,Delicatessen,1560 WISCONSIN AVE NW ,WASHINGTON,DC,20007,Not Available,38.91033057,-77.06501828
L'ENFANT DC HOTEL LLC,Delicatessen,480 L'ENFANT PLZ SW ,WASHINGTON,DC,20024,Not Available,38.88390162,-77.02436545
"ARAMARK SPORTS AND ENTERTAINMENT SERVICES, LLC",Delicatessen,801 MT VERNON PL NW ,WASHINGTON,DC,20001,Not Available,38.90358717,-77.02310078
SOMTAM HOLDINGS 1 LLC,Delicatessen,1309 5TH ST NE ,WASHINGTON,DC,20002,Not Available,38.90871669,-76.99765027
THE COFFEE PROJECT LLC,Delicatessen,35 N ST NE ,WASHINGTON,DC,20002,Not Available,38.9070072469,-77.0076008231
Sweet Treats Corp/Coldstone Creamery,Delicatessen,1201 HALF ST SE ,WASHINGTON,DC,20003,Not Available,38.87558305,-77.00786184
"DNA3, LLC",Delicatessen,2490 MARKET ST NE ,WASHINGTON,DC,20018,Not Available,38.9219258598,-76.9523705785
Mosaico by Arepa Zone,Delicatessen,1280 4TH ST NE ,WASHINGTON,DC,20002,Not Available,38.90885456,-76.99959174
Harris Teeter LLC Attn: Compliance Department,Delicatessen,401 M ST SE ,WASHINGTON,DC,20003,Not Available,38.87621685,-77.00009427
Taqueria Xochi,Delicatessen,924 U ST NW ,WASHINGTON,DC,20001,Not Available,38.91683857,-77.02496605
Rice Market,Delicatessen,1608 14TH ST NW ,WASHINGTON,DC,20009,Not Available,38.91149755,-77.03235586
DC INTERNATIONAL MARKET,Delicatessen,3547 GEORGIA AVE NW ,WASHINGTON,DC,20010,Not Available,38.93406508,-77.0237164
Gregorys Coffee,Delicatessen,443 7TH ST NW ,WASHINGTON,DC,20004,Not Available,38.89596905,-77.02169437
RAM Foods Inc.,Delicatessen,7425 GEORGIA AVE NW ,WASHINGTON,DC,20012,Not Available,38.98061915,-77.02619907
Bozzelli's Deli,Delicatessen,3000 K ST NW ,WASHINGTON,DC,20007,Not Available,38.9018141,-77.05975468
PricewaterhouseCoopers LLP,Delicatessen,655 NEW YORK AVE NW ,WASHINGTON,DC,20001,Not Available,38.90346782,-77.02114443
DOLCI GELATI LLC,Delicatessen,3001 CONNECTICUT AVE NW ,WASHINGTON,DC,20008,Not Available,38.93060711,-77.05437784
"Nagaria Enterprises, LLC",Delicatessen,3001 CONNECTICUT AVE NW ,WASHINGTON,DC,20008,Not Available,38.93060711,-77.05437784
The Noodle Lady,Delicatessen,2000 5TH ST NE ,WASHINGTON,DC,20002,Not Available,38.91713131,-76.9998403
Teashi Caf? & Bubble Tea,Delicatessen,1234 19TH ST NW ,WASHINGTON,DC,20036,Not Available,38.9068701,-77.04373249
Mac Market & Deli,Delicatessen,5185 MACARTHUR BLVD NW ,WASHINGTON,DC,20016,Not Available,38.92673614,-77.10272948
The Wydown,Delicatessen,600 H ST NE ,WASHINGTON,DC,20002,Not Available,38.90040398,-76.99738735
JUNG&JUNG ONE INC,Delicatessen,5439 MACARTHUR BLVD NW ,WASHINGTON,DC,20016,Not Available,38.92995694,-77.10649077
Firehook Dupont Circle LLC,Delicatessen,1909 Q ST NW ,WASHINGTON,DC,20009,Not Available,38.91128795,-77.04381222
Masala Street Eatery,Delicatessen,3206 O ST NW ,WASHINGTON,DC,20007,Not Available,38.90770682,-77.06384554
Dolcezza Dupont LLC,Delicatessen,1704 CONNECTICUT AVE NW ,WASHINGTON,DC,20009,Not Available,38.91284722,-77.0456428
Golddwater LLC/Cool Coffee,Delicatessen,3901 12TH ST NE ,WASHINGTON,DC,20017,Not Available,38.93738547,-76.99037064
Tamarind LLC,Delicatessen,2000 5TH ST NE ,WASHINGTON,DC,20002,Not Available,38.91713131,-76.9998403
Shakers,Delicatessen,2012 9TH ST NW ,WASHINGTON,DC,20001,Not Available,38.91742988,-77.02422319
FALBRO LLC,Delicatessen,2016 9TH ST NW ,WASHINGTON,DC,20001,Not Available,38.91751688,-77.02420097
"Gtown Sushi & Poke, Inc.",Delicatessen,3050 K ST NW ,WASHINGTON,DC,20007,Not Available,38.90194421,-77.06091848
DDS/RSA RANDOLPH-SHEPPARD VENDING FACILITY PROGRAM (RSVFP),Delicatessen,1111 CONSTITUTION AVE NW ,WASHINGTON,DC,20001,Not Available,38.89275257,-77.0270696
1926 17TH ST NW LLC,Delicatessen,1926 17TH ST NW ,WASHINGTON,DC,20009,Not Available,38.91663078,-77.03875552
ARAMARK ENTERTAINMENT LLC,Delicatessen,601 F ST NW ,WASHINGTON,DC,,Not Available,38.8980785153,-77.0209572291
"ILC Brand, Inc.",Delicatessen,101 INDEPENDENCE AVE SE ,WASHINGTON,DC,20540,Not Available,38.88673957,-77.00468822
Greenheart,Delicatessen,2000 PENNSYLVANIA AVE NW ,WASHINGTON,DC,20006,Not Available,38.90035538,-77.0457758
Grassfed Griddle,Delicatessen,670 RHODE ISLAND AVE NE ,WASHINGTON,DC,20002,Not Available,38.92210939,-76.99691248
FOR FIVE BAKEHOUSE LLC,Delicatessen,901 K ST NW ,WASHINGTON,DC,20001,Not Available,38.90277626,-77.02546677
ZESTY BITES INC,Delicatessen,400 NORTH CAPITOL ST NW ,WASHINGTON,DC,20001,Not Available,38.89539746,-77.00959833
Bandoola Bowl,Delicatessen,2000 PENNSYLVANIA AVE NW ,WASHINGTON,DC,20006,Not Available,38.90035538,-77.0457758
New York Fortune INC,Delicatessen,209 NEW YORK AVE NW ,WASHINGTON,DC,20001,Not Available,38.90586691,-77.01408619
SakuSaku Flakerie,Delicatessen,1309 5TH ST NE ,WASHINGTON,DC,20002,Not Available,38.90871669,-76.99765027
Shu Lan Inc,Delicatessen,820 1ST ST NE ,WASHINGTON,DC,20002,Not Available,38.90057083,-77.00780891
"Aishwarya DC Ventures LLC dba Papa John's Pizza, 3540",Food Products,914 11TH ST SE ,WASHINGTON,DC,20003,Not Available,38.87873827,-76.9912768
"Groceryworks.com Operating Company, LLC",Grocery Store,6500 PINEY BRANCH RD NW ,WASHINGTON,DC,20012,Not Available,38.96955672,-77.02655688
MACARTHUR & RESERVOIR INC.,Gasoline Dealer,4812 MACARTHUR BLVD NW ,WASHINGTON,DC,20007,Not Available,38.91630015,-77.09608652
CAPITOL RIVER CRUISES,Food Products,3100 K ST NW ,WASHINGTON,DC,20036,3014607447.0,0.0,0.0
EUROMARKET DESIGNS INC,Food Products,4820 MASSACHUSETTS AVE NW ,WASHINGTON,DC,20001,2023646100.0,38.94449833,-77.0955684
"SUPER PHARMACY, L.L.C.",Food Products,1019 H ST NE ,WASHINGTON,DC,20002,2023880050.0,38.89998031,-76.9919275
TRAVELTRADERS HOTEL STORES INC.,Food Products,2500 CALVERT ST NW ,WASHINGTON,DC,20008,7863882500.0,38.92262375,-77.05381823
TRAVELTRADERS HOTEL STORES INC.,Food Products,1000 H ST NW ,WASHINGTON,DC,20001,7863882500.0,38.89934061,-77.02648774
DISTRICT OF COLUMBIA CVS PHARMACY LLC,Food Products,6 7 DUPONT CIR NW ,WASHINGTON,DC,20015,2027851466.0,38.90944035,-77.04448488
POUR LIQUOR & MORE,Food Products,901 M ST NW ,WASHINGTON,DC,20001,2022891414.0,38.90582623,-77.02415319
"American Best Chicken and Waffle, LLC",Delicatessen,380 EASTERN AVE NE ,WASHINGTON,DC,20019,Not Available,38.89467189,-76.9120174
"Everyday Sundae, LLC",Delicatessen,713 KENNEDY ST NW ,WASHINGTON,DC,20011,Not Available,38.95655495,-77.02292862
Blossom Bakery,Delicatessen,1823 WEST VIRGINIA AVE NE ,WASHINGTON,DC,20002,Not Available,38.91087366,-76.98467889
AND ENTERPRISE INC,Food Products,333 HAWAII AVE NE ,WASHINGTON,DC,20011,Not Available,38.94117064,-77.00081644
SERV-U-LIQUOR,Food Products,1935 9TH ST NW ,WASHINGTON,DC,20001,Not Available,38.91656004,-77.0237838
NANNIE HELEN BP,Food Products,5207 NANNIE HELEN BURROUG AVE NE ,WASHINGTON,DC,20019,Not Available,38.89799019,-76.92530886
FAMILY MARKET,Food Products,4626 14TH ST NW ,WASHINGTON,DC,20011,Not Available,38.9469173,-77.03300652
METRO CARE PHARMACY LLC.,Food Products,6323 GEORGIA AVE NW ,WASHINGTON,DC,20011,Not Available,38.96690286,-77.02711519
MOUNT OLIVET INC.,Food Products,1103 MOUNT OLIVET RD NE ,WASHINGTON,DC,20002,Not Available,38.91026292,-76.9856345
AUTOZONE #5235,Food Products,1207 H ST NE ,WASHINGTON,DC,20002,2023381203.0,38.89994612,-76.98978269
WALGREEN CO,Food Products,3301 NEW MEXICO AVE NW ,WASHINGTON,DC,20016,Not Available,38.93364619,-77.08511638
SEYMOURS LIQUORS,Food Products,5579 5581 CENTRAL AVE SE ,WASHINGTON,DC,20019,Not Available,38.88558448,-76.91903875
Piney Branch BP,Food Products,6401 GEORGIA AVE NW ,WASHINGTON,DC,20012,Not Available,38.96753185,-77.02685856
Waldorf Astoria Washington D.C.,Food Products,1100 PENNSYLVANIA AVE NW ,WASHINGTON,DC,20004,Not Available,38.89412373,-77.02757271
Noma Wine & Liquor,Food Products,22 M ST NE ,WASHINGTON,DC,20002,Not Available,38.9058811,-77.00785204
DC DARU LLC,Food Products,1513 RHODE ISLAND AVE NE ,WASHINGTON,DC,20018,Not Available,38.92577794,-76.98215194
TK DC INC.,Food Products,812 H ST NE ,WASHINGTON,DC,20002,Not Available,38.90042186,-76.99433409
"Jade Fitness, Inc",Food Products,1310 PENNSYLVANIA AVE SE ,WASHINGTON,DC,20003,Not Available,38.88156738,-76.98778892
ABS Group Inc. t/a Penn Branch Liquor,Food Products,3228 PENNSYLVANIA AVE SE ,WASHINGTON,DC,20020,Not Available,38.8696358,-76.95960004
899 Beverages LLC,Food Products,899 O ST NW ,WASHINGTON,DC,20001,Not Available,38.90874682,-77.0237179
Barnes & Noble College Booksellers LLC,Food Products,3800 RESERVOIR RD NW ,WASHINGTON,DC,20007,Not Available,38.91201376,-77.07530401
CITATIONS LLC,Food Products,1412 GOOD HOPE RD SE ,WASHINGTON,DC,20020,Not Available,38.86686701,-76.98465388
Peachtree Group,Food Products,317 K ST NW ,WASHINGTON,DC,20001,Not Available,38.90276686,-77.01599103
Renaissance Hotel Operating Company,Restaurant,1127 CONNECTICUT AVE NW ,WASHINGTON,DC,20036,Not Available,38.90444225,-77.03946658
MARCELLINO LLC,Restaurant,300 MORSE ST NE ,WASHINGTON,DC,20002,Not Available,38.90899572,-77.00088778
GUEST SERVICES (#1420),Food Vending Machine,1090 OHIO DR SW ,WASHINGTON,DC,20024,7038499324.0,38.879105,-77.03124459
GUEST SERVICES COMPANY OF VIRGINIA LLC,Food Vending Machine,555 13TH ST NW ,WASHINGTON,DC,20037,7038499300.0,38.89699703,-77.02935404
MORAZAN GROCERY CORPORATION,Grocery Store,3928 14TH ST NW ,WASHINGTON,DC,20011,2027237480.0,38.93943909,-77.03303132
"NORA, OSCAR INC.",Grocery Store,6404 GEORGIA AVE NW ,WASHINGTON,DC,20012,2027227574.0,38.96776377,-77.02779598
LEE'S MINI MARKET INC,Grocery Store,3853 ALABAMA AVE SE ,WASHINGTON,DC,20020,2025930096.0,38.86619055,-76.94986932
S&H 7 INC.,Delicatessen,1255 22ND ST NW ,WASHINGTON,DC,20037,Not Available,38.90668298,-77.04836104
CANALES HILLS CORP.,Grocery Store,225 7TH ST SE ,WASHINGTON,DC,20003,Not Available,38.88641312,-76.99646843
CONNIEBNB,Bed and Breakfast,1620 CRITTENDEN ST NE ,WASHINGTON,DC,20017,Not Available,38.94727331,-76.98226999
Carm LLC.,Bed and Breakfast,1512 UPSHUR ST NW ,WASHINGTON,DC,20011,Not Available,38.94166583,-77.03486917
Unknown,Bed and Breakfast,1114 3RD ST NE ,WASHINGTON,DC,20002,Not Available,38.904189,-77.00225389
Unknown,Bed and Breakfast,408 WOODCREST DR SE ,WASHINGTON,DC,20032,Not Available,38.8387846,-77.00006151
Aknowingspirit LLC,Bed and Breakfast,739 IRVING ST NW ,WASHINGTON,DC,20010,Not Available,38.92914513,-77.02488605
Garth Robinson,Bed and Breakfast,1255 RAUM ST NE ,WASHINGTON,DC,20002,Not Available,38.90804957,-76.98421024
City Chic Studio,Bed and Breakfast,4811 43RD PL NW ,WASHINGTON,DC,20016,Not Available,38.95256029,-77.08479286
1158 DC NOMA,Bed and Breakfast,1158 ABBEY PL NE ,WASHINGTON,DC,20002,Not Available,38.90521777,-77.00149555
Vana Residential llc,Bed and Breakfast,220 HAMILTON ST NW ,WASHINGTON,DC,20011,Not Available,38.9530173678,-77.0142882863
